Date,Close ,Open,Hign,Low,Volume,Percent
2014年1月27日,431.75,428.75,432.75,427,132.84K,0.52%
2014年1月24日,429.5,428.5,430.25,425.5,126.82K,0.12%
2014年1月23日,429,426,431.25,425.75,157.78K,0.65%
2014年1月22日,426.25,425,429,424.5,114.79K,0.29%
2014年1月21日,425,424,425.75,421,134.01K,0.24%
2014年1月17日,424,427,428,422.25,95.49K,-0.93%
2014年1月16日,428,425.75,430,425,131.70K,0.53%
2014年1月15日,425.75,431,431.5,425.5,118.78K,-1.33%
2014年1月14日,431.5,433.5,434,427.25,156.82K,-0.69%
2014年1月13日,434.5,431.75,435.5,430.5,219.14K,0.40%
2014年1月10日,432.75,411.5,433,406.25,365.58K,5.04%
2014年1月9日,412,416,416.75,408,228.11K,-1.20%
2014年1月8日,417,425.25,427.75,414,221.23K,-2.11%
2014年1月7日,426,427,430,425.25,124.44K,-0.41%
2014年1月6日,427.75,423.5,428,423.5,96.64K,1.00%
2014年1月3日,423.5,420.5,424,417,110.19K,0.71%
2014年1月2日,420.5,422,427.25,418.5,136.28K,-0.21%
2014年1月1日,421.38,421.38,421.38,421.38,-,-0.15%
2013年12月31日,422,423.5,423.5,421,77.09K,-0.35%
2013年12月30日,423.5,426.5,426.75,423,60.44K,-0.94%
2013年12月27日,427.5,426.25,429,426,52.40K,0.29%
2013年12月26日,426.25,433,433,426,72.95K,-1.90%
2013年12月24日,434.5,433.5,435.75,431.75,28.45K,0.06%
2013年12月23日,434.25,433,436,431.75,65.97K,0.23%
2013年12月20日,433.25,429.75,434.25,427.5,92.62K,0.64%
2013年12月19日,430.5,425,431,424.25,99.37K,1.29%
2013年12月18日,425,426,429.75,423,81.54K,-0.41%
2013年12月17日,426.75,423,429,422,89.62K,0.83%
2013年12月16日,423.25,425.75,426.5,420.5,114.42K,0.65%
2013年12月13日,420.5,430,430,420.5,0.29K,-1.81%
2013年12月12日,428.25,431.25,431.75,424.25,1.68K,-0.70%
2013年12月11日,431.25,427.5,432,426,1.78K,0.88%
2013年12月10日,427.5,428,431.25,421.75,3.14K,-0.23%
2013年12月9日,428.5,424,429,422.75,1.40K,1.06%
2013年12月6日,424,422.5,425,419.5,2.08K,0.30%
2013年12月5日,422.75,425.5,426.25,420.5,2.39K,-0.65%
2013年12月4日,425.5,421.5,430,418,7.67K,0.83%
2013年12月3日,422,416.5,423,414.75,9.18K,1.32%
2013年12月2日,416.5,414.75,417.25,410,14.98K,0.30%
2013年11月29日,415.25,418.75,419.5,413,21.82K,-0.48%
2013年11月27日,417.25,418,422.25,416.25,132.01K,-0.30%
2013年11月26日,418.5,424.75,425,415.75,134.29K,-1.47%
2013年11月25日,424.75,422.5,426.5,422.25,122.50K,-1.19%
2013年11月24日,429.88,429.88,429.88,429.88,-,1.81%
2013年11月22日,422.25,422.25,426.75,420.5,191.25K,-0.18%
2013年11月21日,423,417,424,416.75,184.36K,1.44%
2013年11月20日,417,417.5,419,415,146.18K,-0.18%
2013年11月19日,417.75,411.75,419,410.75,184.95K,1.40%
2013年11月18日,412,421.5,422.5,411.5,251.10K,-2.37%
2013年11月15日,422,426,430,421.5,215.39K,-1.06%
2013年11月14日,426.5,429.75,431.25,425.5,166.63K,-0.76%
2013年11月13日,429.75,432,434.5,428.75,226.43K,-0.58%
2013年11月12日,432.25,434.25,438,430.25,176.53K,-0.58%
2013年11月11日,434.75,427.25,437.25,427.25,256.56K,1.87%
2013年11月8日,426.75,419.5,429.5,415.5,367.86K,1.49%
2013年11月7日,420.5,421,424.25,419,240.01K,-0.18%
2013年11月6日,421.25,424.5,426,420.75,203.38K,-0.88%
2013年11月5日,425,425.5,427,424,173.09K,-0.29%
2013年11月4日,426.25,426.25,428.75,425.25,154.96K,-0.23%
2013年11月1日,427.25,427.75,429.75,425.75,175.60K,-0.23%
2013年10月31日,428.25,430,436.25,427,226.90K,-0.46%
2013年10月30日,430.25,431.5,435,429.5,145.11K,-0.41%
2013年10月29日,432,430.25,434,428.25,160.43K,0.29%
2013年10月28日,430.75,439,440,430.25,197.96K,-2.10%
2013年10月25日,440,440,442,439.5,114.54K,-0.06%
2013年10月24日,440.25,442,444.5,438.5,145.52K,-0.56%
2013年10月23日,442.75,438,446.25,437.5,154.66K,1.03%
2013年10月22日,438.25,443.25,444.5,437,94.42K,-1.30%
2013年10月21日,444,440.5,444.5,438,105.74K,0.57%
2013年10月18日,441.5,442.5,447.75,440,113.29K,-0.34%
2013年10月17日,443,442,446.5,441.5,109.64K,0.06%
2013年10月16日,442.75,443,446,439,120.31K,-0.17%
2013年10月15日,443.5,436.5,444,436,132.99K,1.49%
2013年10月14日,437,432.75,437.5,432,87.55K,0.87%
2013年10月11日,433.25,436.5,437,432.5,95.88K,-1.14%
2013年10月10日,438.25,443,446.5,436.5,110.46K,-1.18%
2013年10月9日,443.5,441.5,447,440.5,106.37K,0.40%
2013年10月8日,441.75,448.5,449.75,439.75,127.96K,-1.67%
2013年10月7日,449.25,442.75,449.5,441.5,148.38K,1.35%
2013年10月4日,443.25,439.5,443.75,438.75,80.71K,0.91%
2013年10月3日,439.25,438.75,443.75,438,97.17K,0.06%
2013年10月2日,439,438.75,441,435,110.68K,0.00%
2013年10月1日,439,441.25,444.75,435.25,162.61K,-0.57%
2013年9月30日,441.5,452.5,462,440.75,231.38K,-2.75%
2013年9月27日,454,456.5,459,453,96.33K,-0.60%
2013年9月26日,456.75,454.5,457.75,451,81.84K,0.44%
2013年9月25日,454.75,448.25,456.75,448.25,102.26K,1.34%
2013年9月24日,448.75,452.5,457,448,102.42K,-0.99%
2013年9月23日,453.25,450,455,448.25,85.79K,0.50%
2013年9月20日,451,459.5,460,450.5,117.38K,-1.85%
2013年9月19日,459.5,457,463.25,455.5,118.13K,0.71%
2013年9月18日,456.25,454,457,452,98.96K,0.50%
2013年9月17日,454,457,468.5,453.25,142.92K,-0.55%
2013年9月16日,456.5,457.5,462,454,96.54K,1.44%
2013年9月13日,450,479.75,480.75,450,0.83K,-6.05%
2013年9月12日,479,479.75,485.75,466.25,2.13K,-0.16%
2013年9月11日,479.75,474.5,480.25,473,2.89K,1.05%
2013年9月10日,474.75,475.5,476.5,472.25,5.29K,-0.52%
2013年9月9日,477.25,491,493.5,475.5,5.83K,-2.90%
2013年9月6日,491.5,489.25,492.5,484.25,3.03K,0.41%
2013年9月5日,489.5,493.75,495,483.5,6.33K,-0.91%
2013年9月4日,494,497,497,487.5,8.03K,-0.80%
2013年9月3日,498,501.25,504.5,486,12.79K,0.61%
2013年8月30日,495,496.75,499.5,487.75,33.79K,-0.45%
2013年8月29日,497.25,503.75,504.5,496,62.09K,-1.39%
2013年8月28日,504.25,500,506.75,495.5,62.70K,0.90%
2013年8月27日,499.75,515,519.25,498.75,61.67K,-3.10%
2013年8月26日,515.75,500.75,522.75,500.75,72.38K,4.09%
2013年8月23日,495.5,487.5,500,487,73.98K,1.64%
2013年8月22日,487.5,497,498.75,486.5,67.92K,-2.11%
2013年8月21日,498,483.5,499.5,482,74.95K,2.95%
2013年8月20日,483.75,492.75,494.25,482.5,46.40K,-1.93%
2013年8月19日,493.25,483.25,493.75,478.25,55.41K,4.12%
2013年8月16日,473.75,481,483.75,468.5,62.89K,-1.61%
2013年8月15日,481.5,465,485,464.25,81.20K,3.60%
2013年8月14日,464.75,455.25,465.75,455,80.63K,2.09%
2013年8月13日,455.25,472,476.5,453.75,112.29K,-3.55%
2013年8月12日,472,465.5,480,457,110.05K,1.34%
2013年8月9日,465.75,473,476.75,464,80.18K,-1.64%
2013年8月8日,473.5,468,475.5,468,90.62K,1.12%
2013年8月7日,468.25,472,476.25,467.25,90.36K,-0.85%
2013年8月6日,472.25,469,475.5,465.5,70.68K,0.64%
2013年8月5日,469.25,473,475,465.5,74.63K,-1.42%
2013年8月2日,476,487.5,489.25,475.25,83.42K,-2.36%
2013年8月1日,487.5,499,499.75,486.5,68.28K,-2.30%
2013年7月31日,499,495.5,499.5,493,76.26K,0.71%
2013年7月30日,495.5,489.75,497.25,489.5,64.59K,1.28%
2013年7月29日,489.25,492,497.5,488.25,64.51K,-0.56%
2013年7月26日,492,495.25,499.75,490,65.92K,-0.81%
2013年7月25日,496,508.5,510.75,492.25,126.37K,-2.41%
2013年7月24日,508.25,522.5,524.25,507.75,103.14K,-2.73%
2013年7月23日,522.5,539.25,539.25,521.5,92.86K,-3.37%
2013年7月22日,540.75,544.25,545,536.25,49.04K,-0.60%
2013年7月19日,544,539.75,545.5,536.75,77.72K,0.55%
2013年7月18日,541,537.5,542.5,532,69.58K,0.46%
2013年7月17日,538.5,546.25,549,537.75,45.39K,-1.24%
2013年7月16日,545.25,540,549.75,539,55.37K,1.68%
2013年7月15日,536.25,542.5,543.75,534.5,50.49K,-23.56%
2013年7月12日,701.5,718,800,700.5,0.76K,-2.13%
2013年7月11日,716.75,712,730,709,3.20K,0.99%
2013年7月10日,709.75,703.75,711.75,703.25,2.65K,0.82%
2013年7月9日,704,692,710,692,3.67K,1.77%
2013年7月8日,691.75,684,695,684,4.26K,1.02%
2013年7月5日,684.75,678,687,677.75,2.87K,28.44%
2013年7月4日,533.13,533.13,533.13,533.13,-,-21.40%
2013年7月3日,678.25,674,681.75,670,3.93K,0.82%
2013年7月2日,672.75,652.5,678.5,651,7.92K,2.63%
2013年7月1日,655.5,678.5,690,653.5,18.28K,-3.50%
2013年6月28日,679.25,668,685.5,652.25,37.86K,1.80%
2013年6月27日,667.25,664,673,660.5,89.22K,0.41%
2013年6月26日,664.5,658.5,667,658.5,84.39K,1.18%
2013年6月25日,656.75,654,661,652,76.14K,0.54%
2013年6月24日,653.25,660,660.25,650.5,63.78K,-1.28%
2013年6月21日,661.75,673,673.75,660.25,90.42K,-1.71%
2013年6月20日,673.25,679.75,679.75,667.5,81.19K,-1.32%
2013年6月19日,682.25,672,683.75,665.25,145.52K,1.34%
2013年6月18日,673.25,667.75,677.25,662.5,160.58K,0.71%
2013年6月17日,668.5,652.5,672,651.5,122.00K,2.06%
2013年6月14日,655,644,658,643.75,97.38K,1.79%
2013年6月13日,643.5,652,653,640.5,125.19K,-1.11%
2013年6月12日,650.75,659,662,646.25,138.80K,-1.33%
2013年6月11日,659.5,650.5,661.25,647.25,111.23K,1.46%
2013年6月10日,650,661.25,664.5,648.5,122.28K,-2.44%
2013年6月7日,666.25,662.75,674,659.5,122.08K,0.45%
2013年6月6日,663.25,660,664.5,655.5,73.05K,0.38%
